score,duration_s,signal,mode,pitch_thr,yaw_thr,iris_thr,gap_tolerance_s,writing_fires,reading_fires,natural_fp_count,natural_total,suspicious_tp_count,suspicious_total,best_suspicious_streak_s,best_suspicious_label
54.19,6.0,head,yaw_only,20.0,5.0,,0.4,0,0,2,6,4,6,24.19,suspicious_eyes_only_side
54.19,6.0,head,both,20.0,5.0,,0.4,0,0,2,6,4,6,24.19,suspicious_eyes_only_side
54.19,6.0,head,yaw_only,25.0,5.0,,0.4,0,0,2,6,4,6,24.19,suspicious_eyes_only_side
54.19,6.0,head,both,25.0,5.0,,0.4,0,0,2,6,4,6,24.19,suspicious_eyes_only_side
54.19,6.0,head,yaw_only,30.0,5.0,,0.4,0,0,2,6,4,6,24.19,suspicious_eyes_only_side
54.19,6.0,head,both,30.0,5.0,,0.4,0,0,2,6,4,6,24.19,suspicious_eyes_only_side
54.19,6.0,head,yaw_only,99.0,5.0,,0.4,0,0,2,6,4,6,24.19,suspicious_eyes_only_side
54.19,6.0,head,both,99.0,5.0,,0.4,0,0,2,6,4,6,24.19,suspicious_eyes_only_side
49.65,4.0,gaze,yaw_only,20.0,5.0,,0.4,0,0,3,6,5,6,14.65,suspicious_eyes_only_side
49.65,4.0,gaze,yaw_only,25.0,5.0,,0.4,0,0,3,6,5,6,14.65,suspicious_eyes_only_side
49.65,4.0,gaze,both,25.0,5.0,,0.4,0,0,3,6,5,6,14.65,suspicious_eyes_only_side
49.65,4.0,gaze,yaw_only,30.0,5.0,,0.4,0,0,3,6,5,6,14.65,suspicious_eyes_only_side
49.65,4.0,gaze,both,30.0,5.0,,0.4,0,0,3,6,5,6,14.65,suspicious_eyes_only_side
49.65,4.0,gaze,yaw_only,99.0,5.0,,0.4,0,0,3,6,5,6,14.65,suspicious_eyes_only_side
49.65,4.0,gaze,both,99.0,5.0,,0.4,0,0,3,6,5,6,14.65,suspicious_eyes_only_side
48.19,4.0,head,yaw_only,20.0,5.0,,0.4,0,1,4,6,5,6,24.19,suspicious_eyes_only_side
48.19,4.0,head,both,20.0,5.0,,0.4,0,1,4,6,5,6,24.19,suspicious_eyes_only_side
48.19,4.0,head,yaw_only,25.0,5.0,,0.4,0,1,4,6,5,6,24.19,suspicious_eyes_only_side
48.19,4.0,head,both,25.0,5.0,,0.4,0,1,4,6,5,6,24.19,suspicious_eyes_only_side
48.19,4.0,head,yaw_only,30.0,5.0,,0.4,0,1,4,6,5,6,24.19,suspicious_eyes_only_side
