score,duration_s,signal,mode,pitch_thr,yaw_thr,iris_thr,gap_tolerance_s,writing_fires,reading_fires,natural_fp_count,natural_total,suspicious_tp_count,suspicious_total,best_suspicious_streak_s,best_suspicious_label
39.29,4.0,gaze,yaw_only,20.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
39.29,4.0,gaze,both,20.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
39.29,4.0,gaze,yaw_only,25.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
39.29,4.0,gaze,both,25.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
39.29,4.0,gaze,yaw_only,30.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
39.29,4.0,gaze,both,30.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
39.29,4.0,gaze,yaw_only,99.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
39.29,4.0,gaze,both,99.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
39.29,6.0,gaze,yaw_only,20.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
39.29,6.0,gaze,both,20.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
39.29,6.0,gaze,yaw_only,25.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
39.29,6.0,gaze,both,25.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
39.29,6.0,gaze,yaw_only,30.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
39.29,6.0,gaze,both,30.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
39.29,6.0,gaze,yaw_only,99.0,5.0,,0.4,0,0,3,3,3,3,24.29,suspicious_phone_under_desk_2_laptop
