recorded_at,experiment,label,frame_index,elapsed_s,face_detected,head_pitch,head_yaw,eye_pitch,eye_yaw,gaze_pitch,gaze_yaw,iris_offset_x,iris_offset_y
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,1,0.0890,1,-2.1262,10.2581,4.7112,0.5203,2.5851,10.7784,0.0087,-0.0785
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,2,0.1797,1,-2.7244,10.1231,5.0742,0.0706,2.3498,10.1937,0.0012,-0.0846
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,3,0.2740,1,-2.4532,10.3858,5.0121,0.1220,2.5590,10.5078,0.0020,-0.0835
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,4,0.3644,1,-2.8593,11.2878,7.1998,-0.1178,4.3405,11.1700,-0.0020,-0.1200
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,5,0.4592,1,-3.2793,10.8209,5.5819,-0.1212,2.3027,10.6998,-0.0020,-0.0930
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,6,0.5601,1,-3.1902,11.7248,5.7562,0.0090,2.5661,11.7338,0.0002,-0.0959
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,7,0.6448,1,-3.7219,12.2094,5.3924,3.9409,1.6705,16.1503,0.0657,-0.0899
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,8,0.7382,1,-2.6163,12.5816,3.5286,3.8167,0.9124,16.3983,0.0636,-0.0588
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,9,0.8317,1,-1.1612,13.7216,2.5760,4.2232,1.4148,17.9448,0.0704,-0.0429
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,10,0.9280,1,-1.2075,13.5043,3.7734,3.7701,2.5659,17.2745,0.0628,-0.0629
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,11,1.0171,1,-1.3769,14.2577,4.1601,0.5916,2.7832,14.8493,0.0099,-0.0693
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,12,1.1098,1,-1.2840,14.6374,4.5505,1.5694,3.2665,16.2067,0.0262,-0.0758
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,13,1.2061,1,-1.8818,13.7189,3.2143,1.8445,1.3325,15.5634,0.0307,-0.0536
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,14,1.2969,1,-0.8182,15.1129,2.1520,2.3262,1.3338,17.4390,0.0388,-0.0359
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,15,1.3898,1,-1.2578,16.1027,2.1989,1.8746,0.9411,17.9773,0.0312,-0.0366
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,16,1.4824,1,0.5771,17.2939,3.2785,1.4142,3.8556,18.7081,0.0236,-0.0546
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,17,1.5756,1,1.1158,17.3479,0.8784,0.9221,1.9942,18.2700,0.0154,-0.0146
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,18,1.6746,1,1.0808,17.3455,2.4136,2.4718,3.4944,19.8173,0.0412,-0.0402
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,19,1.7619,1,2.3913,17.2158,2.8584,2.8403,5.2497,20.0561,0.0473,-0.0476
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,20,1.8575,1,2.3300,18.3959,1.1176,2.3016,3.4476,20.6975,0.0384,-0.0186
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,21,1.9493,1,2.0462,15.7773,2.6180,4.8565,4.6643,20.6338,0.0809,-0.0436
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,22,2.0418,1,1.8698,15.8486,3.8767,3.7555,5.7465,19.6041,0.0626,-0.0646
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,23,2.1339,1,2.0100,16.4518,3.2644,3.2440,5.2743,19.6958,0.0541,-0.0544
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,24,2.2270,1,1.3372,14.9019,2.9587,3.3761,4.2959,18.2779,0.0563,-0.0493
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,25,2.3240,1,1.0812,13.7057,2.6559,4.2141,3.7370,17.9198,0.0702,-0.0443
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,26,2.4136,1,-0.2673,13.7042,4.5129,3.5929,4.2456,17.2971,0.0599,-0.0752
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,27,2.5071,1,-0.5738,15.0595,4.4595,2.6695,3.8857,17.7290,0.0445,-0.0743
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,28,2.6002,1,-1.8666,13.7574,5.1211,3.3413,3.2545,17.0987,0.0557,-0.0854
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,29,2.6941,1,-1.7701,12.3036,4.0791,3.2607,2.3089,15.5642,0.0543,-0.0680
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,30,2.7857,1,-2.5230,12.5801,5.3680,4.0557,2.8450,16.6358,0.0676,-0.0895
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,31,2.8806,1,-3.0910,12.0956,6.1696,3.0463,3.0786,15.1419,0.0508,-0.1028
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,32,2.9762,1,-2.7102,11.5733,5.4521,3.6122,2.7419,15.1855,0.0602,-0.0909
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,33,3.0644,1,-3.4915,11.3967,7.0347,2.9945,3.5431,14.3912,0.0499,-0.1172
